Concept Id,Name,Description,Synonyms,Answers,Set Members,Class,Datatype,Changed By,Creator
25,"Disposition","","Disposition
Disposition","Undo Discharge
Discharge Patient
Transfer Patient
Admit Patient","","Question","Coded","Super User","Super User"
26,"Disposition Set","","Disposition Set
Disposition Set","","Disposition
Disposition Note","Misc","N/A","Super User","Super User"
27,"Disposition Note","","Disposition Note
Disposition Note","","","Misc","Text","Super User","Super User"
28,"Consultation Note","Consultation Note","Consultation Note
consultation note","","","Misc","Text","Super User","Super User"
29,"Admission","","Admission
Admission","","","Misc","N/A","Super User","Super User"
30,"DISCHARGE","","DISCHARGE
DISCHARGE","","","Misc","N/A","Super User","Super User"
31,"Lab Departments","","Lab departments
Lab Departments","","Haematology Department
Urine Department
Biochemistry Department
Clinical Pathology Department
Stool Department
Microbiology Department
Histo Pathology Department
Serology Department
Vaginal Department","ConvSet","N/A","Super Man","Super User"
32,"Other Investigations","","Other Investigations
Other Investigations","","Endoscopy
Radiology","ConvSet","N/A","Super User","Super User"
33,"Radiology Orders","","Radiology
Radiology Orders","","Chest
Neck
Other Radiology
Head
Face
Shoulder
Arm
Leg
Ribs
Hand
Hip
Knee
Abdomen
Pelvis
Spine
Special X Rays","ConvSet","N/A","Super User","Super User"
34,"Adt Notes","","Adt Notes","","","Misc","Text","Super User","Super User"
35,"Document","","Document","","","Misc","Text","Super User","Super User"
36,"LABRESULTS_CONCEPT","","LABRESULTS_CONCEPT
LABRESULTS_CONCEPT","","LAB_RESULT
LAB_NOTES
LAB_MINNORMAL
LAB_MAXNORMAL
LAB_ABNORMAL
REFERRED_OUT
LAB_REPORT","Finding","N/A","Super User","Super User"
37,"LAB_RESULT","","LAB_RESULT
LAB_RESULT","","","Finding","Text","Super User","Super User"
38,"LAB_NOTES","","LAB_NOTES
LAB_NOTES","","","Finding","Text","Super User","Super User"
39,"LAB_MINNORMAL","","LAB_MINNORMAL
LAB_MINNORMAL","","","Finding","Numeric","Super User","Super User"
40,"LAB_MAXNORMAL","","LAB_MAXNORMAL
LAB_MAXNORMAL","","","Finding","Numeric","Super User","Super User"
41,"LAB_ABNORMAL","","LAB_ABNORMAL
LAB_ABNORMAL","","","Finding","Boolean","Super User","Super User"
42,"REFERRED_OUT","","REFERRED_OUT
REFERRED_OUT","","","Misc","Boolean","Super User","Super User"
44,"Lab Order Notes","","Lab Order Notes
Lab Order Notes","","","Misc","Text","Super User","Super User"
45,"All_Tests_and_Panels_old","","A_T_and_P
All_Tests_and_Panels_old","","","ConvSet","N/A","Super Man","Super User"
46,"XCompoundObservation","","XCompoundObservation","","IS_ABNORMAL","ConvSet","N/A","","Super User"
47,"IS_ABNORMAL","","IS_ABNORMAL","","","Finding","Boolean","","Super User"
48,"Ruled Out Diagnosis","","Ruled Out Diagnosis
Ruled Out Diagnosis","","","Misc","N/A","Super User","Super User"
49,"Bahmni Diagnosis Status","","Bahmni Diagnosis Status
Bahmni Diagnosis Status","","","Misc","Coded","Super User","Super User"
50,"Bahmni Initial Diagnosis","","Bahmni Initial Diagnosis
Bahmni Initial Diagnosis","","","Misc","Text","Super User","Super User"
51,"Bahmni Diagnosis Revised","","Bahmni Diagnosis Revised
Bahmni Diagnosis Revised","","","Misc","Boolean","Super User","Super User"
52,"Lab Manager Notes","","Lab Manager Notes
Lab Manager Notes","","","Misc","N/A","Super User","Super User"
53,"Accession Uuid","","Accession Uuid
Accession Uuid","","","Misc","N/A","Super User","Super User"
55,"Nutritional Values","","Nutritional Values","","HEIGHT
WEIGHT","ConvSet","Numeric","Super Man","Super User"
56,"Dose Quantity Units","","Dose            Quantity Units
Dose Quantity Units","","Ayurvedic
Tablet(s)
Tablet(s)
Drops
Capsule(s)
Capsule(s)
Jelly
Lotion
ml
Ointment
mg
IU
Powder
Solution
Spray
Unit(s)
Cream
Gel
Inhaler
Injection
Syrup
Food Supplement","ConvSet","N/A","Super User","Super User"
57,"Dosing Units","","Dosing Units
dosing  units","","Capsule(s)
Tablet(s)
ml
mg
IU
Drop
Tablespoon
Teaspoon
Unit(s)
Puff(s)","ConvSet","N/A","Super Man","Super User"
60,"Teaspoon","","Teaspoon
teaspoon","","","Misc","N/A","Super User","Super User"
61,"Tablespoon","","Tablespoon
tablespoon","","","Misc","N/A","Super User","Super User"
62,"Drop","","drop
Drop","","","Misc","N/A","Super User","Super User"
63,"ml","","ml
ml","","","Misc","N/A","Super User","Super User"
64,"mg","","mg
mg","","","Misc","N/A","Super User","Super User"
65,"Drug Routes","","Drug Routes
drug routes","","Intramuscular
Nasal
Topical
Intraosseous
Intrathecal
Intraperitoneal
Intradermal
Nasogastric
Sub Lingual
Per Rectum
Sub Cutaneous
Per Vaginal
Oral
Intravenous
Inhalation","ConvSet","N/A","Super User","Super User"
66,"Intramuscular","","IM
Intramuscular","","","Misc","N/A","Super User","Super User"
67,"Intravenous","","IV
Intravenous","","","Misc","N/A","Super User","Super User"
68,"Oral","","Oral
PO","","","Misc","N/A","Super User","Super User"
69,"Per Vaginal","","PV
Per Vaginal","","","Misc","N/A","Super User","Super User"
70,"Sub Cutaneous","","Sub Cutaneous
SC","","","Misc","N/A","Super User","Super User"
71,"Per Rectum","","Per Rectum
PR","","","Misc","N/A","Super User","Super User"
72,"Sub Lingual","","SL
Sub Lingual","","","Misc","N/A","Super User","Super User"
74,"Nasogastric","","Nasogastric
NG","","","Misc","N/A","Super User","Super User"
75,"Duration Units","","Duration Units
duration units","","Day(s)
Hour(s)
Week(s)
Month(s)
Minute(s)","ConvSet","N/A","Super User","Super User"
76,"Day(s)","","day(s)
Day(s)","","","Misc","N/A","Super User","Super User"
77,"Once a day","","OD
Once a day","","","Frequency","N/A","Super User","Super User"
78,"Twice a day","","BD
Twice a day","","","Frequency","N/A","Super User","Super User"
79,"Thrice a day","","TDS
Thrice a day","","","Frequency","N/A","Super User","Super User"
80,"Four times a day","","QDS
Four times a day","","","Frequency","N/A","Super User","Super User"
81,"Dosing Instructions","","Dosing Instructions
Dosing Instructions","","Before meals
Empty stomach
After meals
In the morning
In the evening
At bedtime
Immediately
As directed","ConvSet","N/A","Super User","Super User"
82,"Before meals","","ac
Before meals","","","Misc","N/A","Super User","Super User"
83,"Empty stomach","","Empty stomach","","","Misc","N/A","Super User","Super User"
84,"After meals","","After meals
pc","","","Misc","N/A","Super User","Super User"
85,"In the morning","","In the morning
cm","","","Misc","N/A","Super User","Super User"
86,"In the evening","","In the evening","","","Misc","N/A","Super User","Super User"
87,"At bedtime","","hs
At bedtime","","","Misc","N/A","Super User","Super User"
88,"Immediately","","Immediately
STAT","","","Misc","N/A","Super User","Super User"
89,"As directed","","As directed","","","Misc","N/A","Super User","Super User"
90,"All Observation Templates","","All Observation Templates
All Observation templates","","History and Examination
Vitals
Second Vitals
Obstetrics
Gynaecology
Discharge Summary
Tuberculosis Intake Template
Tuberculosis Followup Template
ANC
Diabetes, Intake
Diabetes, Progress
Hypertension, Intake
Hypertension, Progress
Malaria
Death Note
Delivery note
Childhood Illness( Children aged below 2 months)
Childhood Illness( Children aged 2 months to 5 years)
IMAM Program
Nutrition
HIV Testing and Counseling Intake Template
HIV Treatment and Care Intake Template
HIV Treatment and Care Progress Template
Opioid Substitution Therapy Intake Template
Opportunistic Infection Template
Prevention of Mother-to-Child Transmission Intake Template
Safe Abortion
PNC
Family Planning Template
Post Delivery Family Planning Checklist
Chronic Kidney Disease, Intake
Chronic Kidney Disease, Progress
COPD, Intake
COPD, Progress
Asthma, Progress
Congestive Heart Failure, Progress
Coronary Artery Disease, Progress
Rheumatic Heart Disease, Progress
Seizure Disorder, Progress
Stroke OPD
Leprosy, Template
Mental Health
Orthopaedic Examination
ECG Notes
ER General Notes
Operative Notes
USG Notes
Procedure Notes
Trauma Notes
Breast Cancer Followup Template
Breast Cancer Intake Template","ConvSet","N/A","Super Man","Super User"
91,"LAB_REPORT","","LAB_REPORT
LAB_REPORT","","","URL","Text","Super User","Super User"
92,"Hour(s)","","Hour(s)
hour(s)","","","Misc","N/A","Super User","Super User"
93,"Week(s)","","week(s)
Week(s)","","","Misc","N/A","Super User","Super User"
94,"Month(s)","","Month(s)
month(s)","","","Misc","N/A","Super Man","Super User"
95,"Impression","","Impression
Impression","","","Misc","Text","Super User","Super User"
96,"Class","","class
Class","SC
OBC
Other caste
General
ST","","Misc","Coded","Super User","Super User"
97,"OBC","","OBC
OBC","","","Misc","Text","Super User","Super User"
98,"General","","General
General","","","Misc","Text","Super User","Super User"
99,"SC","","SC
SC","","","Misc","Text","Super User","Super User"
100,"ST","","ST
ST","","","Misc","Text","Super User","Super User"
101,"Other caste","","Other caste
Other caste","","","Misc","Text","Super User","Super User"
102,"Education Details","","education
Education Details","Uneducated
10th pass
12th pass
5th Pass and Below
6th to 9th
Graduate and Above","","Misc","Coded","Super User","Super User"
103,"Uneducated","","Uneducated
Uneducated","","","Misc","Text","Super User","Super User"
104,"5th Pass and Below","","5th Pass and Below
5th Pass and Below","","","Misc","Text","Super User","Super User"
105,"6th to 9th","","6th to 9th
6th to 9th","","","Misc","Text","Super User","Super User"
106,"10th pass","","10th pass
10th pass","","","Misc","Text","Super User","Super User"
107,"12th pass","","12th pass
12th pass","","","Misc","Text","Super User","Super User"
108,"Graduate and Above","","Graduate and Above
Graduate and Above","","","Misc","Text","Super User","Super User"
109,"Occupation","","Occupation
occupation","Business
Unemployed
Labour
Housewife
Student
Government","","Misc","Coded","Super User","Super User"
110,"Unemployed","","Unemployed
Unemployed","","","Misc","Text","Super User","Super User"
111,"Student","","Student
Student","","","Misc","Text","Super User","Super User"
112,"Government","","Government
Government","","","Misc","N/A","Super Man","Super User"
113,"Business","","Business
Business","","","Misc","Text","Super User","Super User"
114,"Housewife","","Housewife
Housewife","","","Misc","Text","Super User","Super User"
115,"Labour","","Labour
Labour","","","Misc","Text","Super User","Super User"
116,"COMMENTS","","COMMENTS
COMMENTS","","","Misc","Text","Super User","Super User"
117,"REGISTRATION FEES","","REGISTRATION FEES
REGISTRATION FEES","","","Misc","Numeric","Super User","Super User"
118,"HEIGHT","","HEIGHT
HEIGHT","","","Misc","Numeric","Super User","Super User"
119,"WEIGHT","","WEIGHT
WEIGHT","","","Misc","Numeric","Super User","Super User"
120,"BMI","","BMI
BMI","","","Computed","Numeric","Super Man","Super User"
121,"BMI STATUS","","BMI STATUS
BMI STATUS","","","Computed","Text","Super Man","Super User"
122,"Vitals","","Vitals
Vitals","","Pulse Data
Blood Pressure
Temperature Data
RR Data
SPO2 Data","Misc","N/A","Super User","Super User"
123,"Pulse Data","","Pulse Data
Pulse","","Pulse
Pulse Abnormal","Concept Details","N/A","Super User","Super User"
124,"Pulse","","Pulse
Pulse","","","Misc","Numeric","Super User","Super User"
125,"Pulse Abnormal","","Pulse Abnormal
Pulse Abnormal","","","Abnormal","Boolean","Super User","Super User"
126,"Blood Pressure","","Blood Pressure
Blood Pressure","","Diastolic Data
Systolic Data
Posture","ConvSet","N/A","Super User","Super User"
127,"Systolic Data","","Systolic
Systolic Data","","Systolic
Systolic Abnormal","Concept Details","N/A","Super User","Super User"
128,"Systolic","","Systolic
Systolic","","","Misc","Numeric","Super User","Super User"
129,"Systolic Abnormal","","Systolic Abnormal
Systolic Abnormal","","","Abnormal","Boolean","Super User","Super User"
130,"Diastolic Data","","Diastolic Data
Diastolic","","Diastolic
Diastolic Abnormal","Concept Details","N/A","Super User","Super User"
131,"Diastolic","","Diastolic
Diastolic","","","Misc","Numeric","Super User","Super User"
132,"Diastolic Abnormal","","Diastolic Abnormal
Diastolic Abnormal","","","Abnormal","Boolean","Super User","Super User"
133,"Temperature Data","","Temperature
Temperature Data","","Temperature Abnormal
Temperature","Concept Details","N/A","Super User","Super User"
134,"Temperature","","Temperature
Temperature","","","Misc","Numeric","Super User","Super User"
135,"Temperature Abnormal","","Temperature Abnormal
Temperature Abnormal","","","Abnormal","Boolean","Super User","Super User"
136,"RR Data","","RR Data
RR","","RR Abnormal
RR","Concept Details","N/A","Super User","Super User"
137,"RR","","RR
RR","","","Misc","Numeric","Super User","Super User"
138,"RR Abnormal","","Temperature Abnormal
RR Abnormal","","","Abnormal","Boolean","Super User","Super User"
139,"SPO2 Data","","SPO2
SPO2 Data","","SPO2
SPO2 Abnormal","Concept Details","N/A","Super User","Super User"
140,"SPO2","","SPO2
SPO2","","","Misc","Numeric","Super User","Super User"
141,"SPO2 Abnormal","","Temperature Abnormal
SPO2 Abnormal","","","Abnormal","Boolean","Super User","Super User"
142,"Second Vitals","","Second Vitals
Second Vitals","","SPO2 Data
RR Data
Temperature Data
Blood Pressure
Pulse Data","Misc","N/A","Super User","Super User"
143,"Discharge Summary","","Discharge Summary
Discharge Summary","","Hospital Course
History and Examination Notes
 Surgeries and Procedures
Follow up Date
Lab Investigation Notes
Radiology Notes
Other Notes
Additional Advice on Discharge
Discharge Summary, Plan for follow up","ConvSet","N/A","Super User","Super User"
144,"Hospital Course","","Hospital Course
Hospital Course","","","Misc","Text","Super User","Super User"
145,"History and Examination Notes","","History and Examination Notes
History and Examination Notes","","","Misc","Text","Super User","Super User"
146," Surgeries and Procedures","","Surgeries and Procedures
 Surgeries and Procedures","","Date of Operation
Operative Procedure","ConvSet","N/A","Super User","Super User"
147,"Date of Operation","","Date of Operation
Date of Operation","","","Misc","Date","Super User","Super User"
148,"Operative Procedure","","Operative Procedure
Operative Procedure","","","Misc","Text","Super User","Super User"
149,"Follow up Date","","Follow up Date
Follow up Date","","","Misc","Date","Super User","Super User"
150,"Lab Investigation Notes","","Lab Investigation Notes
Lab Investigation Notes","","","Misc","Text","Super User","Super User"
151,"Radiology Notes","","Radiology Notes
Radiology Notes","","","Misc","Text","Super User","Super User"
152,"Other Notes","","Other Notes
Other Notes","","","Misc","Text","Super User","Super User"
153,"Additional Advice on Discharge","","Additional Advice on Discharge
Additional Advice on Discharge","","","Misc","Text","Super User","Super User"
154,"History and Examination","","History and Examination
History and Examination","","Chief Complaint Data
Chief Complaint Notes
History Notes
Examination Notes
Smoking History
Consultation Images
Patient Video","Misc","N/A","Super Man","Super User"
155,"Chief Complaint Data","","Chief Complaint Data
Chief Complaint","","Chief Complaint
Non-Coded Chief Complaint
Chief Complaint Duration","Concept Details","N/A","Super User","Super User"
156,"Chief Complaint","","Chief Complaint
Chief Complaint","Cough
Sweating, excessive
Localized swelling/mass, superficial
Edema, localized, NOS
Hemiplegia and hemiparesis
Something coming out of anus
Ulcer of lower limbs
Hemoptysis
Anxiety states
Memory loss
Low backache
Sickle-cell anemia
Fever
Mental status changes
Crying, infant, excessive
Injury
Convulsions
Somethingcoming out per vaginum
Abdominal pain
Lump in breast
Seizures, simple, febrile, unspec.
Epistaxis
Pain, chronic, due to trauma
Shortness of breath
Stomatitis and mucositis
Hearing loss
Rash, nonvesicular, unspec.
Chest Pain
Fracture upper arm
Nausea w/ vomiting
Obstructed labor
Gingival and periodontal diseases
Hoarseness
Throat pain
Polyuria
Blood in vomiting
Constipation
Malaise and fatigue
Dysphagia
Anasarca
Bleeding, rectal
Heartburn
Cleft Palate
Dental caries
Swelling
Fatigue and malaise, other
Hiccups
Nausea, alone
Gas/bloating
Feeding problem, infant/elderly
Vomiting
Anorexia
Infertility
Headache
Irregular menstrual cycle
Wheezing
Nocturia
Pain, knee
Abdominal Lump
Joint swelling, single
Palpitations
Walking difficulty
Failure to thrive, child
Seizures, convulsions, other","","Misc","Coded","Super User","Super User"
157,"Non-Coded Chief Complaint","","Non-Coded Chief Complaint
Non-Coded Chief Complaint","","","Misc","Text","Super User","Super User"
158,"Chief Complaint Duration","","Chief Complaint Duration
Chief Complaint Duration","","","Duration","Numeric","Super User","Super User"
159,"Chief Complaint Notes","","Chief Complaint Notes
Chief Complaint Notes","","","Misc","Text","Super User","Super User"
160,"History Notes","","History Notes
History Notes","","","Misc","Text","Super User","Super User"
161,"Examination Notes","desc Examination Notes","Examination Notes
Examination Notes","","","Misc","Text","Super Man","Super User"
162,"Radiology","","Radiology
radiology","","Chest, 1 view (X-ray)
Spine, 1 view (X-ray)
Pelvis, 1 view (X-ray)
Abdomen, 1 view (X-ray)
Knee - Left, 1 or 2 views (X-ray)
Knee - Right, 1 or 2 views (X-ray)
Chest, 2 views (X-ray)
Hip - Left, 2 views (X-ray)
Hand - Left, 2 views (X-ray)
Hip - Right, 2 views (X-ray)
Ribs - Left, 2 views (X-ray)
Foot - Left, 2 views (X-ray)
Femur - Left, 2 views (X-ray)
Ribs - Right, 2 views (X-ray)
Foot - Right, 2 views (X-ray)
Elbow - Left, 2 views (X-ray)
Hand - Right, 2 views (X-ray)
Wrist - Left, 2 views (X-ray)
Elbow - Right, 2 views (X-ray)
Wrist - Right, 2 views (X-ray)
Femur - Right, 2 views (X-ray)
Forearm - Left, 2 views (X-ray)
Humerus - Left, 2 views (X-ray)
Lumbar spine, 2 or 3 views (X-ray)
Forearm - Right, 2 views (X-ray)
Clavicle - Left, 2 views (X-ray)
Humerus - Right, 2 views (X-ray)
Shoulder - Left, 2 views (X-ray)
Shoulder - Right, 2 views (X-ray)
Lower leg - Left, 2 views (X-ray)
Calcaneus - Left, 2 views (X-ray)
Thoracic spine, 2 views (X-ray)
Clavicle - Right, 2 views (X-ray)
Lower leg - Right, 2 views (X-ray)
Calcaneus - Right, 2 views (X-ray)
Cervical spine, 2 or 3 views (X-ray)
Thoracic and lumbar spine, 2 views (X-ray)
Sinuses, 3 views (X-ray)
Facial bones, 3 views (X-ray)
Skull, 4 views (X-ray)
Chest, 4 views (X-ray)
Mandible panorex (X-ray)
Chest lordotic (X-ray)
Chest oblique - Bilateral (X-ray)
Kidney retrograde pyelogram (X-ray)
Acromioclavicular joints - Bilateral (X-ray)
Abdomen AP (supine and lateraldecubitus) (X-ray)
Ankle - Left, 3 views (X-ray)
Ankle - Right, 3 views (X-ray)
Neck soft tissue (X-ray)
Temporomandibular joint, bilateral (XRay)
Skull, 2 views (X-ray)
ARM Clavicle AP
ARM Scapula AP
ARM Scapula Lateral
ARM Shoulder AP
ARM Shoulder Axial
ARM Humerus AP
ARM Humerus Lateral
ARM Elbow AP
ARM Elbow Lateral
ARM Forearm AP
ARM Forearm Lateral
ARM Wrist PA
ARM Wrist AP
ARM Wrist Lateral
ARM Scaphoid
ARM Hand AP
ARM Hand oblique
ARM Finger lateral
LEG Pelvis
LEG Hip joint AP
LEG Hip joint Lateral
LEG Femur AP
LEG Femur Lateral
LEG Knee AP
LEG Knee lateral
LEG Lower leg including knee
LEG Lower leg including ankle
LEG Ankle joint
LEG Foot AP
LEG Foot oblique
LEG Foot lateral
CHEST PA
CHEST Lateral
CHEST AP
CHEST apical lordotic
ABDOMEN AP Supine
ABDOMEN PA/AP standing erect
ABDOMEN lateral decubitus
ABDOMEN supine urography
ABDOMEN urinary bladder
HEAD Skull PA
HEAD Skull AP
HEAD Skull semiaxial (Towne’s)
HEAD Skull lateral
HEAD Sinus and face lateral
HEAD Nose lateral
HEAD Mandible AP
HEAD Mandible PA
HEAD Mandible oblique lateral
SPINE Cervical AP/PA
SPINE Cervical Lateral
SPINE Thoracic AP/PA
SPINE Thoracic Lateral
SPINE Lumbo-sacral AP/PA
SPINE Lumbo-sacral Lateral
BARIUM STUDY Barium swallow
BARIUM STUDY Barium meal
BARIUM STUDY Barium Enema
RGU
KUB
CT
MRI","ConvSet","N/A","Super User","Super User"
163,"Chest","","chest
Chest","","Chest, 1 view (X-ray)
Chest, 2 views (X-ray)
Chest, 4 views (X-ray)
Chest lordotic (X-ray)
Chest oblique - Bilateral (X-ray)
CHEST PA
CHEST Lateral
CHEST AP
CHEST apical lordotic","ConvSet","N/A","Super Man","Super User"
164,"Chest, 1 view (X-ray)","","chest, 1 view (x-ray)
Chest, 1 view (X-ray)","","","Radiology","Text","Super Man","Super User"
165,"Spine","","Spine
spine","","Spine, 1 view (X-ray)
SPINE Lumbo-sacral AP/PA
SPINE Thoracic Lateral
SPINE Thoracic AP/PA
SPINE Cervical Lateral
SPINE Cervical AP/PA
Thoracic and lumbar spine, 2 views (X-ray)
Cervical spine, 2 or 3 views (X-ray)
Thoracic spine, 2 views (X-ray)
Lumbar spine, 2 or 3 views (X-ray)
SPINE Lumbo-sacral Lateral","ConvSet","N/A","Super Man","Super User"
166,"Spine, 1 view (X-ray)","","spine, 1 view (x-ray)
Spine, 1 view (X-ray)","","","Radiology","Text","Super Man","Super User"
167,"Pelvis","","Pelvis
pelvis","","Pelvis, 1 view (X-ray)","ConvSet","N/A","Super Man","Super User"
168,"Pelvis, 1 view (X-ray)","","pelvis, 1 view (x-ray)
Pelvis, 1 view (X-ray)","","","Radiology","Text","Super Man","Super User"
169,"Abdomen","","abdomen
Abdomen","","Abdomen, 1 view (X-ray)
Abdomen AP (supine and lateraldecubitus) (X-ray)
ABDOMEN AP Supine
ABDOMEN PA/AP standing erect
ABDOMEN lateral decubitus
ABDOMEN supine urography
ABDOMEN urinary bladder","ConvSet","N/A","Super Man","Super User"
170,"Abdomen, 1 view (X-ray)","","Abdomen, 1 view (X-ray)
abdomen, 1 view (x-ray)","","","Radiology","Text","Super Man","Super User"
171,"Knee","","knee
Knee","","Knee - Left, 1 or 2 views (X-ray)
Knee - Right, 1 or 2 views (X-ray)","ConvSet","N/A","Super Man","Super User"
172,"Knee - Left, 1 or 2 views (X-ray)","","knee - left, 1 or 2 views (x-ray)
Knee - Left, 1 or 2 views (X-ray)","","","Radiology","Text","Super Man","Super User"
173,"Knee - Right, 1 or 2 views (X-ray)","","knee - right, 1 or 2 views (x-ray)
Knee - Right, 1 or 2 views (X-ray)","","","Radiology","Text","Super Man","Super User"
174,"Chest, 2 views (X-ray)","","Chest, 2 views (X-ray)
chest, 2 views (x-ray)","","","Radiology","Text","Super Man","Super User"
175,"Hip","","hip
Hip","","Hip - Left, 2 views (X-ray)
Hip - Right, 2 views (X-ray)","ConvSet","N/A","Super Man","Super User"
176,"Hip - Left, 2 views (X-ray)","","hip - left, 2 views (x-ray)
Hip - Left, 2 views (X-ray)","","","Radiology","Text","Super Man","Super User"
177,"Hand","","Hand
hand","","Hand - Left, 2 views (X-ray)","ConvSet","N/A","Super Man","Super User"
178,"Hand - Left, 2 views (X-ray)","","hand - left, 2 views (x-ray)
Hand - Left, 2 views (X-ray)","","","Radiology","Text","Super Man","Super User"
179,"Hip - Right, 2 views (X-ray)","","Hip - Right, 2 views (X-ray)
hip - right, 2 views (x-ray)","","","Radiology","Text","Super Man","Super User"
180,"Ribs","","ribs
Ribs","","Ribs - Left, 2 views (X-ray)
Ribs - Right, 2 views (X-ray)","ConvSet","N/A","Super Man","Super User"
181,"Ribs - Left, 2 views (X-ray)","","Ribs - Left, 2 views (X-ray)
ribs - left, 2 views (x-ray)","","","Radiology","Text","Super Man","Super User"
182,"Leg","","leg
Leg","","Foot - Left, 2 views (X-ray)
LEG Femur AP
LEG Femur Lateral
LEG Knee AP
LEG Knee lateral
LEG Lower leg including knee
LEG Lower leg including ankle
LEG Ankle joint
LEG Foot AP
LEG Foot oblique
LEG Hip joint Lateral
LEG Hip joint AP
LEG Pelvis
Femur - Left, 2 views (X-ray)
Foot - Right, 2 views (X-ray)
Femur - Right, 2 views (X-ray)
Lower leg - Left, 2 views (X-ray)
Calcaneus - Left, 2 views (X-ray)
Lower leg - Right, 2 views (X-ray)
Calcaneus - Right, 2 views (X-ray)
Ankle - Left, 3 views (X-ray)
Ankle - Right, 3 views (X-ray)
LEG Foot lateral","ConvSet","N/A","Super Man","Super User"
183,"Foot - Left, 2 views (X-ray)","","Foot - Left, 2 views (X-ray)
foot - left, 2 views (x-ray)","","","Radiology","Text","Super Man","Super User"
184,"Femur - Left, 2 views (X-ray)","","femur - left, 2 views (x-ray)
Femur - Left, 2 views (X-ray)","","","Radiology","Text","Super Man","Super User"
185,"Ribs - Right, 2 views (X-ray)","","Ribs - Right, 2 views (X-ray)
ribs - right, 2 views (x-ray)","","","Radiology","Text","Super Man","Super User"
186,"Foot - Right, 2 views (X-ray)","","Foot - Right, 2 views (X-ray)
foot - right, 2 views (x-ray)","","","Radiology","Text","Super Man","Super User"
187,"Arm","","arm
Arm","","Elbow - Left, 2 views (X-ray)
ARM Humerus Lateral
ARM Elbow AP
ARM Elbow Lateral
ARM Forearm AP
ARM Forearm Lateral
ARM Wrist PA
ARM Wrist AP
ARM Wrist Lateral
ARM Scaphoid
ARM Hand AP
ARM Hand oblique
ARM Humerus AP
ARM Shoulder Axial
ARM Shoulder AP
Hand - Right, 2 views (X-ray)
Wrist - Left, 2 views (X-ray)
Elbow - Right, 2 views (X-ray)
Wrist - Right, 2 views (X-ray)
Forearm - Left, 2 views (X-ray)
Humerus - Left, 2 views (X-ray)
Forearm - Right, 2 views (X-ray)
Humerus - Right, 2 views (X-ray)
ARM Clavicle AP
ARM Scapula AP
ARM Scapula Lateral
ARM Finger lateral","ConvSet","N/A","Super Man","Super User"
